"","course_instructor","course_name","course_rating","course_university","course_review_num","course_desc","course_url","course_provider","course_price"
"101","Marie Claire UK","Makeup, Hair and Beauty Genius, by Marie Claire",10,"","40 reviews","59 'get the look' masterclasses and over 2hrs of tutorials lead by a selection of the world's leading makeup artists.","https://www.coursetalk.com/providers/udemy/courses/makeup-hair-and-beauty-genius-by-marie-claire","Udemy","$49.00"
"102","Tommy Griffith","ClickMinded Search Engine Optimization Training",10,"","40 reviews","By Tommy Griffith, SEO at Airbnb.","https://www.coursetalk.com/providers/udemy/courses/clickminded-search-engine-optimization-training","Udemy","$300.00"
"103","Robert Scot","YOUTUBE Pro - Use YouTube to Rank #1 on Google - Over Night",10,"","40 reviews","YouTube videos, simply optimized will get you top Google search results - taught by Dr YouTube","https://www.coursetalk.com/providers/udemy/courses/use-youtube-to-rank-1-google-overnite-youtube-for-business","Udemy","$300.00"
"104","Scott McElroy","Learn to Speak: Conversational French - Full Course",10,"","40 reviews","Learn to Speak French like a PRO, with the emphasis on the spoken language and no tricky grammar to worry about!","https://www.coursetalk.com/providers/udemy/courses/learn-to-speak-conversational-french-full-course","Udemy","$99.00"
"105","Michelle Johnson","How to Make Professional Looking Cooking Videos",10,"","40 reviews","Make cooking videos that are so good your audience can't wait for your next video, even without a film crew","https://www.coursetalk.com/providers/udemy/courses/how-to-make-professional-looking-cooking-videos","Udemy","$57.00"
"106","John Colley","Udemy Course MasterClass - Level 2",10,"","50 reviews","Master Udemy Course Creation -> Udemy Course Development in a Nutshell -> Make Money with your Udemy Courses","https://www.coursetalk.com/providers/udemy/courses/master-udemy-plan-publish-and-promote-profitable-courses","Udemy","$297.00"
"107","William Lee","OfficeFit : Exercises You Can Do In The Office",10,"","41 reviews","Learn how to exercise right at your desk without having to change out of your work clothes or drive down to the gym.","https://www.coursetalk.com/providers/udemy/courses/officefit-exercises-you-can-do-in-the-office","Udemy","$12.00"
"108","Miguel Hernandez","How to Create an Awesome Online Course",10,"","41 reviews","Miguel Hernandez reveals all the secrets he used to make over $90,000 last year as a Udemy instructor.","https://www.coursetalk.com/providers/udemy/courses/how-to-create-an-awesome-online-course","Udemy","$159.00"
"109","Kathleen Farley","Step-by-step HTML and CSS for Absolute Beginners",10,"","42 reviews","Learn how to code HTML5 + CSS3 to create your own website in this beginner-level course. No coding experience required!","https://www.coursetalk.com/providers/udemy/courses/step-by-step-html-and-css-for-absolute-beginners","Udemy","$149.00"
"110","Corey Rabazinski","Google AdWords for Beginners",10,"","42 reviews","Learn how to effectively use AdWords to reach more customers online and grow your business.","https://www.coursetalk.com/providers/udemy/courses/google-adwords-for-beginners","Udemy","$299.00"
"111","Justin Gilson","Computer Repair - A Guide For Beginners",10,"","40 reviews","Learn the skills necessary to optimize any PC and never again feel like you can't fix your own computer or others.","https://www.coursetalk.com/providers/udemy/courses/computer-repair-a-guide-for-beginners","Udemy","$29.00"
"112","Evan VanDerwerker","How to Make Animated Videos in PowerPoint",10,"","39 reviews","Learn how to quickly and easily create promotional videos or animated explainer videos in Microsoft PowerPoint.","https://www.coursetalk.com/providers/udemy/courses/how-to-make-awesome-videos-in-powerpoint-for-video-marketing","Udemy","$129.00"
"113","Mel Aclaro","Beyond PowerPoint: Teach Online With ScreenFlow (v4) For Mac",10,"","38 reviews","Learn essentials of video screen recording so you can digitize your knowledge, flip the classroom and teach online now.","https://www.coursetalk.com/providers/udemy/courses/beyond-powerpoint-teach-online-with-screenflow-v4-for-mac","Udemy","$54.00"
"114","Jimmy Naraine","Double Your Confidence & Self Esteem - Complete Blueprint",10,"","39 reviews","Confidence. Self Esteem. Social Skills. Social Success. Social & Inner Confidence. Body Language. Charisma. Influence.","https://www.coursetalk.com/providers/udemy/courses/double-your-confidence-self-esteem-complete-blueprint","Udemy","$299.00"
"115","Alex Mozes","Excel Deep Dive: Pivot Tables Workshop",10,"","38 reviews","Excel data mastery is possible! Learn how to use pivot tables in excel and learn how to use pivot tables to get a raise","https://www.coursetalk.com/providers/udemy/courses/excel-deep-dive-pivot-tables-workshop-with-the-office-ninja-1","Udemy","$49.00"
"116","Dan  Grossman","Programming Languages",10,"University of Washington","39 reviews","Investigate the basic concepts behind programming languages, with an emphasis on the techniques and benefits of functional programming. Use the programming languages ML, Racket, and Ruby to learn how the pieces of a language fit together to create more than the sum of the parts. Gain new software skills and the concepts needed to learn new languages on your own.","https://www.coursetalk.com/providers/coursera/courses/programming-languages-1","Coursera","Free"
"117","Sriram Sankaranarayanan, Shalom D. Ruben","Linear and Integer Programming",10,"University of Colorado Boulder","39 reviews","This course will cover the very basic ideas in optimization. Topics include the basic theory and algorithms behind linear and integer linear programming along with some of the important applications. We will also explore the theory of convex polyhedra using linear programming.","https://www.coursetalk.com/providers/coursera/courses/linear-and-integer-programming","Coursera","Free"
"118","Grant Weherley","Master Your ADHD Brain!",10,"","40 reviews","Maximize Productivity and Empower Your Mind Using Smart Habits and Neuroscience!","https://www.coursetalk.com/providers/udemy/courses/master-your-adhd-brain","Udemy","$297.00"
"119","Joel Widmer, Dan Miller","How To Start A Mastermind Group To Create The Work You Love",10,"","40 reviews","Learn the historical model that will help you explode your success personally, financially, and in any business venture.","https://www.coursetalk.com/providers/udemy/courses/how-to-start-a-mastermind-group-to-create-the-work-you-love","Udemy","$48.00"
"120","David Nihill","Become Better and Funnier at Public Speaking",10,"","40 reviews","Quick, easy & fun steps to enliven your presentation skills with proven techniques from the world of stand-up comedy.","https://www.coursetalk.com/providers/udemy/courses/become-a-better-and-funnier-speaker","Udemy","$99.00"
"121","Len Smith, Sean Kaye","English punctuation made easy",10,"","38 reviews","Punctuation - learn the basics without the pain. People will never laugh at your punctuation again.","https://www.coursetalk.com/providers/udemy/courses/english-punctuation-made-easy","Udemy","$9.00"
"122","Ryan Bonhardt","Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month",10,"","37 reviews","The fastest way to learn HTML5/CSS3 & how to build websites that wow. Great for designers, entrepreneurs, & beginners!","https://www.coursetalk.com/providers/udemy/courses/learn-to-build-beautiful-html5-and-css3-websites-in-1-month","Udemy","$99.00"
"123","Dylan Bowes","Massive Tutorial: Master ""Massive"" in One Week",10,"","37 reviews","Learn the principles of sound design and synthesis by mastering the most powerful and robust VST on the planet: MASSIVE","https://www.coursetalk.com/providers/udemy/courses/massive-tutorial-master-nis-massive-in-one-week","Udemy","$19.00"
"124","Sandor Kiss, Barin Dedeleroglu","Home Business: CPA Secrets - How I Make $6,000+ A Month",10,"","36 reviews","Step into a $1 billion dollar industry using a brutally effective and totally secret strategy.","https://www.coursetalk.com/providers/udemy/courses/cpa-secrets-how-i-make-6000-a-month-very-effective","Udemy","$300.00"
"125","Robin Hall","Pianoforall - Incredible New Way To Learn Piano & Keyboard",10,"","37 reviews","Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical","https://www.coursetalk.com/providers/udemy/courses/pianoforall-incredible-new-way-to-learn-piano-keyboard","Udemy","$247.00"
"126","Jason Taylor","Git Going Fast: One Hour Git Crash Course",10,"","37 reviews","Learn the key concepts and basic workflow for Git and GitHub with this easy to follow, top rated, bootcamp-style course!","https://www.coursetalk.com/providers/udemy/courses/git-going-fast-one-hour-git-crash-course","Udemy","$9.00"
"127","Marci Liroff","Actors: Learn How To Audition For Film And Television",10,"","37 reviews","Veteran Casting Director MARCI LIROFF tells you what you need to book the job in your audition. This is a MUST HAVE!","https://www.coursetalk.com/providers/udemy/courses/how-to-audition-for-film-and-television-audition-bootcamp","Udemy","$29.00"
"128","Paul Solt","Learn to Make iPhone Apps with Objective C for iOS7",10,"","37 reviews","Create apps for iOS7 without any programming experience. Learn how to write Objective C code, design UI, and use Xcode.","https://www.coursetalk.com/providers/udemy/courses/learn-to-make-iphone-apps-with-objective-c-for-ios7","Udemy","$199.00"
"129","Symon He","Real Estate Investing: Complete Investment Analysis",10,"","38 reviews","Learn professional techniques to pick winners in both residential and commercial investment real estate.","https://www.coursetalk.com/providers/udemy/courses/real-estate-investing-investment-analysis-made-easy","Udemy","$300.00"
"130","Susan Weinschenk","User Experience (UX) Design For Engagement",10,"","38 reviews","Learn how to design a user experience (UX) that people want to use.","https://www.coursetalk.com/providers/udemy/courses/design-for-engagement-how-to-design-so-people-take-action","Udemy","$145.00"
"131","Richard Duncan","How The Economy Really Works",10,"","36 reviews","Understand how the government manages the economy through credit creation & asset price manipulation in the 21st Century","https://www.coursetalk.com/providers/udemy/courses/how-the-economy-really-works","Udemy","$100.00"
"132","Kain Ramsay","Unshakable Confidence: How To Transform Your Self Esteem",10,"","35 reviews","Discovering the Core Truths About Who You Really Are to Build Unshakable Confidence and Transform Your Self Esteem","https://www.coursetalk.com/providers/udemy/courses/how-to-build-kick-ass-confidence-and-lasting-self-esteem","Udemy","$149.00"
"133","Cathy Presland","Publish Your Book On Kindle",10,"","35 reviews","The ultimate training to get your book on Amazon. Learn to publish your eBook, boost your credibility & get more sales.","https://www.coursetalk.com/providers/udemy/courses/publish-your-book-on-kindle","Udemy","$199.00"
"134","Gidi Heynens","How to Get Hired - for Graduates",10,"","35 reviews","The Resume, Cover Letter, Job Interview and more - learn all the Secrets to stand out from the crowd!","https://www.coursetalk.com/providers/udemy/courses/how-to-get-hired-for-graduates","Udemy","$57.00"
"135","Sandy Ludosky","Start Now with Bootstrap 3 | Ebook Included",10,"","35 reviews","Create a functional & responsive site with the most popular, mobile 1st framework","https://www.coursetalk.com/providers/udemy/courses/start-now-with-bootstrap-3-ebook-included","Udemy","$79.00"
"136","Olivier De Schutter","International Human Rights",10,"Université catholique de Louvain","35 reviews","Human rights develop through the constant dialogue between international human rights bodies and domestic courts, in a search that crosses geographical, cultural and legal boundaries. The result is a unique human rights grammar, which this course shall discuss and question, examining the sources of human rights, the rights of individuals and the duties of States, and the mechanisms of protection. We shall rely extensively on comparative material from different jurisdictions, to study a wide range of topics including, for instance, religious freedom in multicultural societies, human rights in employment relationships, economic and social rights in development, or human rights in the context of the fight against terrorism.","https://www.coursetalk.com/providers/edx/courses/louv2x-international-human-rights-1","edX","Free"
"137","Aspiratech Training","Salesforce New User Training",10,"","35 reviews","Salesforce CRM: Turn curiosity into cash by learning what it is, what to do with it, and how to use it successfully.","https://www.coursetalk.com/providers/udemy/courses/salesforce-new-user-training","Udemy","$59.00"
"138","Debbie LaChusa","Marketing: How to Market Yourself as a Coach or Consultant",10,"","35 reviews","Learn How To Package, Brand, Market, & Sell Your Services to Create an Enjoyable, Profitable, Successful Business","https://www.coursetalk.com/providers/udemy/courses/marketing-how-to-market-yourself-as-a-coach-or-consultant","Udemy","$197.00"
"139","Coffeecademy .com","Become a Coffee Expert",10,"","36 reviews","Coffee is complex. Let us simplify if for you.","https://www.coursetalk.com/providers/udemy/courses/become-a-coffee-expert","Udemy","$99.00"
"140","Jason Cannon","Learn Linux in 5 Days and Level Up Your Career",10,"","36 reviews","Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.","https://www.coursetalk.com/providers/udemy/courses/learn-linux-in-5-days-and-level-up-your-career","Udemy","$197.00"
"141","Mr Carl Heaton","Beginner Photoshop to HTML5 and CSS3",10,"","34 reviews","Learn how to convert a Photoshop design into HTML5/CSS3 using Dreamweaver.","https://www.coursetalk.com/providers/udemy/courses/beginner-photoshop-to-html5-and-css3","Udemy","Free"
"142","Jake Statler","eBay DropShipping: $1,438 DropShipping From Just 3 Listings",10,"","33 reviews","Study this simple dropshipping course and discover how to make fast and easy sales dropshipping on eBay!","https://www.coursetalk.com/providers/udemy/courses/dropshipping-make-fast-and-easy-sales-dropshipping-on-ebay","Udemy","$197.00"
"143","Shouvik Lahiri","Boundless Achievements: Achieve Whatever You Want To",10,"","33 reviews","Believe in you, break all limitations. Power packed Program with NLP tools, Affirmations, Meditations and Thoughts.","https://www.coursetalk.com/providers/udemy/courses/boundless-achievements-achieve-whatever-you-want-to","Udemy","$99.00"
"144","Monica Vicente","Aprende a Decorar Tartas Fondant desde cero y paso a paso",10,"","33 reviews","Descubre los Secretos de la Repostería Creativa y conviértete en Cake Designer de Manera Fácil y a tu Ritmo","https://www.coursetalk.com/providers/udemy/courses/aprende-a-decorar-tartas-fondant-desde-cero-y-paso-a-paso","Udemy","$97.00"
"145","Justin Mares","Productivity for Mac Users: 10x Your Productivity",10,"","34 reviews","Shortcuts and Tools to 10x Your Productivity on Your Mac","https://www.coursetalk.com/providers/udemy/courses/productivity-for-mac-users-10x-your-productivity","Udemy","$197.00"
"146","Miguel Hernandez","Aprende a Crear un Curso Online",10,"","33 reviews","Miguel uno de los más exitosos instructores en Udemy te enseñará como hacer tu propio curso, promocionarlo y venderlo","https://www.coursetalk.com/providers/udemy/courses/aprende-a-crear-un-curso-online","Udemy","$97.00"
"147","Huntly Mayo Malasky","Travel Hacking: How to Travel the World for Next to Nothing",10,"","33 reviews","A step-by-step system for using award travel to pay for all your future trips and vacations","https://www.coursetalk.com/providers/udemy/courses/travel-hacking-how-to-travel-the-world-for-next-to-nothing","Udemy","$79.00"
"148","Richard Stibbard","The Ultimate Web Development Course",10,"","34 reviews","Learn ALL the major web development technologies in one working project: HTML, CSS, MySQL, PHP, jQuery and AJAX","https://www.coursetalk.com/providers/udemy/courses/the-ultimate-web-development-course","Udemy","$199.00"
"149","Learnerator Inc","Master College Admissions: The Common Application",10,"","34 reviews","Get ahead of the curve on college admissions with our expert advice and tricks for the Common Application.","https://www.coursetalk.com/providers/udemy/courses/master-college-admissions-the-common-application","Udemy","$29.00"
"150","Aaron N. Fletcher","The Online Marketing Crash Course: Traffic, Leads & Clients",10,"","34 reviews","Launch a great small business website site, reach your audience, produce great content with this awesome course","https://www.coursetalk.com/providers/udemy/courses/the-online-marketing-crash-course-traffic-leads-clients","Udemy","$297.00"
"151","Thomas Leuthard","Street Photography: How I approach people on the streets...",10,"","33 reviews","Learn how to get over your fear, how to approach people and how to improve the creativity and quality of your photos.","https://www.coursetalk.com/providers/udemy/courses/street-photography-how-to-approach-people-on-the-streets","Udemy","$99.00"
"152","Jamie Cross","Introduction to Mobile Games Development with Gamesalad",10,"","32 reviews","Learn to make Apple iOS, Android and desktop video games from scratch without any programming!","https://www.coursetalk.com/providers/udemy/courses/introduction-to-mobile-games-development-with-gamesalad","Udemy","$49.00"
"153","Valerie Goettsch","Beginning Photography: Taking Family Portraits Like a Pro!",10,"","31 reviews","Go from boring snapshots to amazing family portraits. Your kids will LOVE to pose for you when they see your photos.","https://www.coursetalk.com/providers/udemy/courses/photography-taking-family-portraits-like-a-pro","Udemy","$39.00"
"154","Atulkumar Shedage","Basics Of Web Application Penetration Testing",10,"","31 reviews","This short aims at familiarizing you to the basics of web application and penetration testing","https://www.coursetalk.com/providers/udemy/courses/basics-of-web-application-penetration-testing","Udemy","$99.00"
"155","Jane Austin","Prenatal Yoga: Strengthening and Opening",10,"","31 reviews","Finding the balance of effort and softening.","https://www.coursetalk.com/providers/udemy/courses/prenatal-yoga-strengthening-and-opening","Udemy","$19.00"
"156","Alex Yang","Ruby on Rails: Training and Skills to Build Web Applications",10,"","31 reviews","Designed for entrepreneurs who want to learn to code their own ideas. No prior experience needed.","https://www.coursetalk.com/providers/udemy/courses/ruby-on-rails-training-and-skills-to-build-web-applications","Udemy","$99.00"
"157","Daniel Strong","The Ultimate Excel Programmer Course",10,"","32 reviews","Learn Excel VBA from scratch with Dan Strong! I've trained over 40K students on YouTube, check it out!","https://www.coursetalk.com/providers/udemy/courses/the-ultimate-excel-programmer-course","Udemy","$199.00"
"158","Anant Agarwal, Chris Terman, Gerald Sussman, Piotr Mitros, Bonnie Lam","Circuits and Electronics 1: Basic Circuit Analysis",10,"MIT","32 reviews","Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuit course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you.

This is the first of three online Circuits & Electronics courses offered by Professor Anant Agarwal and colleagues at MIT, and is taken by all MIT Electrical Engineering and Computer Science (EECS) majors.

Topics covered include: resistive elements and networks; circuit analysis methods including KVL, KCL and the node method; independent and dependent sources; linearity, superposition, Thevenin & Norton methods; digital abstraction, combinational gates; and MOSFET switches and small signal analysis. Design and lab exercises are also significant components of the course.

Weekly coursework includes interactive video sequences, readings from the textbook, homework, online laboratories, and optional tutorials. The course will also have a final exam. 

This a self-paced course, so there are no weekly deadlines. However, all assignments are due by May 12, 2016, when the course will close.

Student Testimonials

“Brilliant course! It's definitely the best introduction to electronics in Universe! Interesting material, clean explanations, well prepared quizzes, challenging homeworks and fun labs.” - Ilya

“6.002x will be a classic in the field of online learning. It combines Prof. Agarwal's enthusiasm for electronics and education. The online circuit design program works very well. The material is difficult. I took the knowledge from the class and built an electronic cat feeder.” - Stan.","https://www.coursetalk.com/providers/edx/courses/circuits-and-electronics-1-basic-circuit-analysis","edX","Free"
"159","Sylvia Bernstein","Aquaponic Gardening: Growing Fish and Vegetables Together",10,"","32 reviews","Grow an entire dinner right in your backyard with aquaponics! Safe, healthy fish and organic vegetables with no weeds!","https://www.coursetalk.com/providers/udemy/courses/aquaponic-gardening-growing-fish-and-vegetables-together","Udemy","$39.00"
"160","William U. Peña","Make an Extra $1K - $10K a Month Selling On Amazon",10,"","32 reviews","Learn what it takes to create a $1K - $10K passive income stream through selling your own products on Amazon.","https://www.coursetalk.com/providers/udemy/courses/make-an-extra-1k-10k-a-month-selling-on-amazon","Udemy","$299.00"
"161","Aaron Benitez","After Effects Advanced Motion Graphics",10,"","30 reviews","Step by step guide to creating real life advanced motion graphics.","https://www.coursetalk.com/providers/udemy/courses/after-effects-advanced-motion-graphics","Udemy","$80.00"
"162","Davis Jones, Team Eazl","Career Hacking: Resume/CV, LinkedIn®, Interviewing, +More",10,"","30 reviews","Hacks for your resume/CV & cover letter, personal branding on LinkedIn, professional networking, interviewing, and more","https://www.coursetalk.com/providers/udemy/courses/career-hacking-resumecv-linkedinr-interviewing-more","Udemy","$249.00"
"163","Jake Statler","Fiverr X Factor - Earn $2,896 on Fiverr in Only 3 Months",10,"","30 reviews","Earn Money on Fiverr: Discover the simple methods allowing you to earn hundreds and thousands from Fiverr's platform!","https://www.coursetalk.com/providers/udemy/courses/how-i-generated-2896-on-fiverr-with-little-effort","Udemy","$197.00"
"164","Braco Pobric, NLP, Positive Psychology Coach Patrick Howell","NLP Techniques: Radiate Self Esteem NLP Confidence Coaching",10,"","29 reviews","NLP - Positive Psychology:  Self Esteem - Self Image - Self Confidence - Coaching Course: Happiness Blueprint","https://www.coursetalk.com/providers/udemy/courses/nlp-exercises-for-greater-self-confidence-a-fuller-life","Udemy","$299.00"
"165","KC Tan","ClickBank Affiliate Marketing – Make Money Without A Website",10,"","30 reviews","Learn and model our proven system to make money online as a ClickBank affiliate. No hidden secrets – we reveal it all!","https://www.coursetalk.com/providers/udemy/courses/make-your-first-real-dollar-in-clickbank-with-no-website","Udemy","$249.00"
"166","Edward Slingerland","Chinese Thought: Ancient Wisdom Meets Modern Science - Part 1",10,"University of British Columbia","30 reviews","This course is designed to give students a thorough introduction to early (pre-221 BCE) Chinese thought, its contemporary implications, and the role of religion in human well-being. Important themes to be discussed include the ideal of wu-wei or “effortless action,” the paradox of how one can consciously try not to try, mindfulness techniques and self-cultivation, models of the self and society, rationality versus emotions, trust and human cooperation, and the structure and impact of different spiritual and political ideals.

This period of Chinese history witnessed the formation of all of the major indigenous schools of Chinese thought (Confucianism, Daoism, Mohism and Legalism), which in turn had an impact on the development of East Asian cultural history that is still felt today. We will also explore parallels with Western philosophical and religious traditions, the relevance of early Chinese thought for contemporary debates in ethics, moral education, and political philosophy, and the manner in which early Chinese models of the self anticipate recent developments in the evolutionary and cognitive sciences.

This course provides a full university semester’s worth of material broken into two parts. Each part of the course will last 5 weeks, with a week-long break in between. For each part, there will be four weeks worth of new material. The fifth week will be reserved for review and completion of the final exam.

Part 1 introduces the basic philosophical, religious and scientific concepts that will be drawn upon throughout the course, and then goes on to cover early Shang and Zhou religious thought, the Analects of Confucius, the Daodejing (a Daoist text attributed to Laozi), the utilitarian thinker Mozi, the newly discovered and very exciting Guodian texts, and the momentous philosophical changes that occurred in the mid Warring States period.

 

See also:

Chinese Thought: Ancient Wisdom Meets Modern Science - Part 2","https://www.coursetalk.com/providers/edx/courses/chinese-thought-ancient-wisdom-meets-modern-science-part-1","edX","Free"
"167","Antonio Pachón","Android Studio Course. Build Apps. Android 6.0 Marshmallow",10,"","30 reviews","Android tutorial for all level students. Learn creating different Apps from scratch. Build Apps. With captions","https://www.coursetalk.com/providers/udemy/courses/android-studio-course-learn-android-build-apps-lollipop","Udemy","$199.00"
"168","Graphic Designer & Photographer  Michael Lemma","How I make a Secondary Income with Mobile Photography!",10,"","30 reviews","Watch & Learn how I make up to $4000 a month following my simple techniques!","https://www.coursetalk.com/providers/udemy/courses/secrets-how-i-earn-up-to-4000mo-with-mobile-photography","Udemy","$49.00"
"169","Digital Marketing Simplified - WSI Academy","Video Marketing Best Practices for Your Business",10,"","30 reviews","Video, video, video... It is changing the way we do business.","https://www.coursetalk.com/providers/udemy/courses/video-marketing-best-practices-for-your-business","Udemy","$29.00"
"170","Success Learner","Preparation for PMI Risk Management Professional (RMP)® exam",10,"","30 reviews","Training to successfully prepare and pass the PMI Risk Management Professional (PMI-RMP)® exam. Not Prince2.","https://www.coursetalk.com/providers/udemy/courses/preparation-for-pmi-risk-management-professional-rmpr-exam","Udemy","$99.00"
"171","John Harper","Balance your mood, manage your stress and flourish",10,"","29 reviews","Manage your stress, develop a more desirable lifestyle, strengthen your emotional resilience and flourish.","https://www.coursetalk.com/providers/udemy/courses/balance-your-mood-manage-your-stress-and-flourish","Udemy","$49.00"
"172","Mel Aclaro","Deep Dive Screencast Training: Camtasia Studio 8 (Windows)",10,"","29 reviews","BASICS AND BEYOND: fundamentals, production workflow, audio enhancements, web video overlays, iPad screencasts and more","https://www.coursetalk.com/providers/udemy/courses/deep-dive-screencast-training-camtasia-studio-8-windows","Udemy","$59.00"
"173","Kimberly Taylor","How to Stop Binging",10,"","28 reviews","Learn how to stop binging (binge eating), manage your emotions, and develop a healthy relationship with food.","https://www.coursetalk.com/providers/udemy/courses/how-to-stop-binge-eating","Udemy","$47.00"
"174","Nick Loper","Kindle Launch Plan: $1400 in 30 Days & an Amazon Bestseller",10,"","28 reviews","Learn the proven process of how to take your non-fiction book from idea to the top of the Amazon charts.","https://www.coursetalk.com/providers/udemy/courses/kindle-launch-plan-1400-in-30-days-an-amazon-bestseller","Udemy","$199.00"
"175","Lazaro Diaz","Cisco CCNA (200-120): The Complete Course",10,"","28 reviews","Take this complete Cisco CCNA course - it will cover everything you need to prepare for the 200-120 certification exam!","https://www.coursetalk.com/providers/udemy/courses/cisco-ccna-200-120-the-complete-course","Udemy","$299.00"
"176","Tom Eilon","Hack Kickstarter: How 6 Crowdfunding Experts Raised Over $1m",10,"","29 reviews","Learn the step-by-step guide to planning and marketing. Hands-on tips & tools for crowdfunding 2-20x your target.","https://www.coursetalk.com/providers/udemy/courses/hack-kickstarter-6-experts-reveal-how-they-crowdfunded-1m","Udemy","$145.00"
"177","Chris Bryant","CCNA Security 2016 210-260 Video Boot Camp With Chris Bryant",10,"","28 reviews","This Course Will Be Updated For The 210-260 Exam In March 2016.  Join Now For Just $11!","https://www.coursetalk.com/providers/udemy/courses/ccna-security-2015-640-554-video-boot-camp-with-chris-bryant","Udemy","$11.00"
"178","Jimmy Naraine","Double Your Productivity and Get Important Things Done",10,"","29 reviews","Productivity Course: Boost Productivity. Get Things Done. Procrastination. Time Management. Productivity Tools.","https://www.coursetalk.com/providers/udemy/courses/double-your-productivity-and-get-important-things-done","Udemy","$249.00"
"179","David Lee Martin","Learn WordPress - A Quick and Easy Guide",10,"","29 reviews","Go from Wordpress Zero to Wordpress Hero - Everything you need to know and do to get your Wordpress site up and running","https://www.coursetalk.com/providers/udemy/courses/learn-wordpress-a-quick-and-easy-guide","Udemy","$19.00"
"180","B.  Mahadevan","Introduction to Operations Management",10,"Indian Institute of Management, Bangalore","29 reviews","Have you ever wondered about the right methods to improve productivity, configure your supply chain or address the demand on hand?

In recent years, businesses have strived to improve productivity and quality, reduce costs and delivery times, and embrace flexibility and innovation. These strategies are part of the Operations Management (OM) activities that service and manufacturing organizations engage in. 

Introduction to Operations Management helps you to understand the role of OM in a firm and to develop abilities to structure and solve operations related problems. The course will empower you with skills to address important aspects of business operations including capacity, productivity, quality, and supply chain.

You will understand how operations in an organization are configured and factors that can potentially drive the complexity of managing such operations. We will also introduce concepts like estimating capacity, identifying bottlenecks, and de-bottlenecking.

Throughout the course, you will join us in discussions on productivity improvement methods, development of quality assurance systems and configuration of supply chains.

The course will equip you with the right tools, techniques and skills to estimate, compute, analyze and configure key elements of operations management.","https://www.coursetalk.com/providers/edx/courses/introduction-to-operations-management-2","edX","Free"
"181","Stephen Guise, Laura Avnaim","Mini Habit Mastery: The Scientific Way To Change Your Habits",10,"","27 reviews","Learn how to always overcome resistance, take action, succeed every day, and make changes that last.","https://www.coursetalk.com/providers/udemy/courses/mini-habit-mastery-the-scientific-way-to-change-your-habits","Udemy","$149.00"
"182","Alun Hill","YouTube Secrets - Your Thumbnails and Graphics Are Crucial",10,"","27 reviews","YouTube: See why I make $2,000 a month on YouTube by having the perfect graphics and thumbnail pictures.","https://www.coursetalk.com/providers/udemy/courses/youtube-secrets-your-thumbnails-and-graphics-are-crucial","Udemy","$300.00"
"183","Stephen Luc, Promote Labs, Inc Team","Video Creation Fast Track",10,"","28 reviews","Discover How To Create Your Very Own In Demand Video Course That Sells Like Crazy - And That Your Customers Will Love!","https://www.coursetalk.com/providers/udemy/courses/video-creation-fast-track","Udemy","$27.00"
"184","Mark Fidelman","The Ultimate Guide to Building a Personal Brand",10,"","27 reviews","The Promise: Learn how to become unemployment proof by building an influential personal brand.","https://www.coursetalk.com/providers/udemy/courses/the-ultimate-guide-to-building-a-personal-brand","Udemy","$39.00"
"185","Dean Dwyer","The Willpower Secret (uDemy Bestseller)",10,"","28 reviews","How to master self-control to create an extraordinary future","https://www.coursetalk.com/providers/udemy/courses/the-willpower-solution-habits-to-master-self-control","Udemy","$197.00"
"186","Jake Statler","Affiliate Marketing: Instant Traffic to Affiliate Links",10,"","28 reviews","Study this Affiliate Marketing course and discover how to make fast and easy sales with your Affiliate Marketing links!","https://www.coursetalk.com/providers/udemy/courses/affiliate-marketing-make-easy-sales-with-affiliate-links","Udemy","$197.00"
"187","Eric Wise","Programming for Complete Beginners in C#",10,"","27 reviews","Learning to code C#?  We have provided HD video lectures, live coding sessions, and nearly 100 exercises to learn on!","https://www.coursetalk.com/providers/udemy/courses/programming-for-complete-beginners-in-c","Udemy","$45.00"
"188","Lisa Irby","Affiliate Marketing - Make Passive Income Online",10,"","28 reviews","Affiliate Marketing is a great way to make passive money with a website online.  Get strategies to earn for the long run","https://www.coursetalk.com/providers/udemy/courses/affiliate-marketing-make-passive-income-online","Udemy","$129.00"
"189","Prateek Kr Singh","Learn Complete Salesforce Step by Step from Scratch",10,"","28 reviews","Handson detailed and complete Instruction for both Admin and Developer part of Salesforce CRM","https://www.coursetalk.com/providers/udemy/courses/learn-complete-salesforce-step-by-step-from-scratch","Udemy","$300.00"
"190","Hassan Osman","How to Manage & Influence Your Virtual Team",10,"","28 reviews","Learn step-by-step tips that help you get things done with your virtual team, without wasting time on useless meetings","https://www.coursetalk.com/providers/udemy/courses/how-to-manage-influence-your-virtual-team","Udemy","$197.00"
"191","David Janzen","Java Essentials for Android",10,"","26 reviews","Learn Java for Android development. No experience required. Includes web-based exercises.","https://www.coursetalk.com/providers/udemy/courses/java-essentials-for-android","Udemy","$89.00"
